time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2026-09-12T06:00,23.9,90,8.7,27.7
2026-09-12T07:00,24.3,84,8.9,27.5
2026-09-12T08:00,25.0,78,7.6,28.2
2026-09-12T09:00,27.5,65,12.4,29.8
2026-09-12T10:00,29.1,57,14.0,30.7
2026-09-12T11:00,27.5,64,15.0,30.3
2026-09-12T12:00,27.3,66,13.5,29.3
2026-09-12T13:00,29.0,58,14.7,31.0
2026-09-12T14:00,29.5,56,14.5,31.2
2026-09-12T15:00,29.1,59,13.9,31.0
2026-09-12T16:00,28.4,62,11.2,30.9
2026-09-12T17:00,27.6,66,7.7,30.7
2026-09-12T18:00,26.9,70,6.6,30.3
2026-09-12T19:00,26.6,71,7.2,29.8
2026-09-12T20:00,26.0,74,4.7,29.7
2026-09-12T21:00,25.6,78,2.6,29.8
2026-09-12T22:00,24.8,83,7.6,28.3
2026-09-12T23:00,24.4,85,9.2,27.8
